wavelength_nm,intensity_counts
2.419079509604200098e+02,7.590909090909093493e+00
2.422838127799187475e+02,7.924242424242426530e+00
2.426596470655283042e+02,7.924242424242426530e+00
2.430354537972527851e+02,7.257575757575760456e+00
2.434112329550961533e+02,6.924242424242426530e+00
2.437869845190625142e+02,6.924242424242426530e+00
2.441627084691558593e+02,7.590909090909093493e+00
2.445384047853802372e+02,7.590909090909093493e+00
2.449140734477396961e+02,7.924242424242426530e+00
2.452897144362382562e+02,8.257575757575759567e+00
2.456653277308799943e+02,8.924242424242425642e+00
2.460409133116689588e+02,9.257575757575759567e+00
2.464164711586091130e+02,8.924242424242427418e+00
2.467920012517045905e+02,8.257575757575759567e+00
2.471675035709593544e+02,7.924242424242426530e+00
2.475429780963774817e+02,7.590909090909093493e+00
2.479184248079630777e+02,7.590909090909093493e+00
2.482938436857200202e+02,7.590909090909093493e+00
2.486692347096524998e+02,7.257575757575760456e+00
2.490445978597644796e+02,7.257575757575760456e+00
2.494199331160599797e+02,7.590909090909092605e+00
2.497952404585431339e+02,7.924242424242426530e+00
2.501705198672179336e+02,7.924242424242426530e+00
2.505457713220883988e+02,8.257575757575759567e+00
2.509209948031585782e+02,9.257575757575759567e+00
2.512961902904324916e+02,9.924242424242425642e+00
2.516713577639142727e+02,9.590909090909093493e+00
2.520464972036078279e+02,9.257575757575759567e+00
2.524216085895172910e+02,9.257575757575759567e+00
2.527966919016466818e+02,9.257575757575759567e+00
2.531717471199999920e+02,8.590909090909093493e+00
2.535467742245813554e+02,7.590909090909093493e+00
2.539217731953947350e+02,7.257575757575760456e+00
2.542967440124442078e+02,7.257575757575759567e+00
2.546716866557337653e+02,7.924242424242426530e+00
2.550466011052674844e+02,8.257575757575759567e+00
2.554214873410494420e+02,7.924242424242426530e+00
2.557963453430836296e+02,7.257575757575760456e+00
2.561711750913740957e+02,7.257575757575759567e+00
2.565459765659248319e+02,7.924242424242426530e+00
2.569207497467400003e+02,8.257575757575759567e+00
2.572954946138235641e+02,7.590909090909093493e+00
2.576702111471795433e+02,6.924242424242427418e+00
2.580448993268120148e+02,6.590909090909093493e+00
2.584195591327249417e+02,6.924242424242426530e+00
2.587941905449225146e+02,7.590909090909092605e+00
2.591687935434086398e+02,7.590909090909093493e+00
2.595433681081874511e+02,7.257575757575760456e+00
2.599179142192629115e+02,6.924242424242426530e+00
2.602924318566390411e+02,7.257575757575759567e+00
2.606669210003200305e+02,7.924242424242426530e+00
2.610413816303097292e+02,7.924242424242426530e+00
2.614158137266123276e+02,7.924242424242426530e+00
2.617902172692317890e+02,7.924242424242426530e+00
2.621645922381721334e+02,8.257575757575759567e+00
2.625389386134374377e+02,8.257575757575759567e+00
2.629132563750318354e+02,7.924242424242426530e+00
2.632875455029592331e+02,7.590909090909093493e+00
2.636618059772237075e+02,8.257575757575759567e+00
2.640360377778292218e+02,8.924242424242425642e+00
2.644102408847800234e+02,8.924242424242425642e+00
2.647844152780799618e+02,7.924242424242426530e+00
2.651585609377331707e+02,6.924242424242427418e+00
2.655326778437435564e+02,6.924242424242426530e+00
2.659067659761153664e+02,6.924242424242426530e+00
2.662808253148525068e+02,6.924242424242427418e+00
2.666548558399590547e+02,6.924242424242426530e+00
2.670288575314390300e+02,7.257575757575759567e+00
2.674028303692965096e+02,7.257575757575760456e+00
2.677767743335354567e+02,7.590909090909093493e+00
2.681506894041600049e+02,7.924242424242426530e+00
2.685245755611741743e+02,7.924242424242426530e+00
2.688984327845819280e+02,7.924242424242426530e+00
2.692722610543873998e+02,7.924242424242426530e+00
2.696460603505946096e+02,8.257575757575759567e+00
2.700198306532075208e+02,7.924242424242426530e+00
2.703935719422302668e+02,7.590909090909093493e+00
2.707672841976668110e+02,7.924242424242426530e+00
2.711409673995213439e+02,7.924242424242426530e+00
2.715146215277977149e+02,8.590909090909093493e+00
2.718882465625000009e+02,8.590909090909093493e+00
2.722618424836323356e+02,8.924242424242427418e+00
2.726354092711987391e+02,8.257575757575759567e+00
2.730089469052032314e+02,7.590909090909093493e+00
2.733824553656497756e+02,6.924242424242427418e+00
2.737559346325424485e+02,7.257575757575759567e+00
2.741293846858854408e+02,8.257575757575759567e+00
2.745028055056826588e+02,8.924242424242425642e+00
2.748761970719381225e+02,8.590909090909093493e+00
2.752495593646558518e+02,7.924242424242426530e+00
2.756228923638399806e+02,7.924242424242426530e+00
2.759961960494945288e+02,8.257575757575759567e+00
2.763694704016235164e+02,8.590909090909093493e+00
2.767427154002310203e+02,8.590909090909093493e+00
2.771159310253210037e+02,9.257575757575759567e+00
2.774891172568975435e+02,1.025757575757575957e+01
2.778622740749646596e+02,1.092424242424242564e+01
2.782354014595264289e+02,1.059090909090909349e+01
2.786084993905868714e+02,9.257575757575759567e+00
2.789815678481500640e+02,7.924242424242426530e+00
2.793546068122200268e+02,6.924242424242427418e+00
2.797276162628007228e+02,6.924242424242426530e+00
2.801005961798963426e+02,7.257575757575759567e+00
2.804735465435107926e+02,7.257575757575760456e+00
2.808464673336482065e+02,6.924242424242427418e+00
2.812193585303125474e+02,7.257575757575759567e+00
2.815922201135077785e+02,8.257575757575759567e+00
2.819650520632382040e+02,9.257575757575759567e+00
2.823378543595076735e+02,9.924242424242425642e+00
2.827106269823202638e+02,9.924242424242425642e+00
2.830833699116799949e+02,9.924242424242425642e+00
2.834560831275908868e+02,8.924242424242425642e+00
2.838287666100571300e+02,8.257575757575759567e+00
2.842014203390825742e+02,7.590909090909093493e+00
2.845740442946713529e+02,7.590909090909093493e+00
2.849466384568274862e+02,7.590909090909093493e+00
2.853192028055550509e+02,6.924242424242426530e+00
2.856917373208580102e+02,6.590909090909093493e+00
2.860642419827404979e+02,7.257575757575759567e+00
2.864367167712064770e+02,8.590909090909093493e+00
2.868091616662600245e+02,9.257575757575759567e+00
2.871815766479051035e+02,8.924242424242427418e+00
2.875539616961459046e+02,8.924242424242425642e+00
2.879263167909863910e+02,8.924242424242425642e+00
2.882986419124305826e+02,8.590909090909093493e+00
2.886709370404825563e+02,8.257575757575759567e+00
2.890432021551462185e+02,8.257575757575759567e+00
2.894154372364258165e+02,7.590909090909092605e+00
2.897876422643252567e+02,6.590909090909092605e+00
2.901598172188486728e+02,5.924242424242426530e+00
2.905319620800000280e+02,5.924242424242426530e+00
2.909040768277833422e+02,6.257575757575760456e+00
2.912761614422026923e+02,6.257575757575760456e+00
2.916482159032622121e+02,6.590909090909093493e+00
2.920202401909658079e+02,6.924242424242426530e+00
2.923922342853175564e+02,7.590909090909092605e+00
2.927641981663214779e+02,7.924242424242426530e+00
2.931361318139815921e+02,8.590909090909093493e+00
2.935080352083020898e+02,8.590909090909093493e+00
2.938799083292868772e+02,8.590909090909093493e+00
2.942517511569400313e+02,7.924242424242426530e+00
2.946235636712655719e+02,7.257575757575760456e+00
2.949953458522675191e+02,6.590909090909093493e+00
2.953670976799499499e+02,5.590909090909093493e+00
2.957388191343169979e+02,5.590909090909093493e+00
2.961105101953725125e+02,5.924242424242426530e+00
2.964821708431206844e+02,7.257575757575759567e+00
2.968538010575654198e+02,7.590909090909093493e+00
2.972254008187109093e+02,7.590909090909093493e+00
2.975969701065610593e+02,6.924242424242427418e+00
2.979685089011200034e+02,6.924242424242426530e+00
2.983400171823917617e+02,7.590909090909092605e+00
2.987114949303802973e+02,7.924242424242426530e+00
2.990829421250898008e+02,7.257575757575759567e+00
2.994543587465241785e+02,6.257575757575759567e+00
2.998257447746875073e+02,5.924242424242426530e+00
3.001971001895838640e+02,6.590909090909093493e+00
3.005684249712172118e+02,7.590909090909092605e+00
3.009397190995916844e+02,7.924242424242426530e+00
3.013109825547113019e+02,7.924242424242426530e+00
3.016822153165800273e+02,7.590909090909093493e+00
3.020534173652019376e+02,8.257575757575759567e+00
3.024245886805810528e+02,8.257575757575759567e+00
3.027957292427215634e+02,7.924242424242426530e+00
3.031668390316273758e+02,7.590909090909093493e+00
3.035379180273025668e+02,8.257575757575759567e+00
3.039089662097510995e+02,9.590909090909091717e+00
3.042799835589770510e+02,9.924242424242425642e+00
3.046509700549844410e+02,9.924242424242425642e+00
3.050219256777774604e+02,9.590909090909093493e+00
3.053928504073600152e+02,9.590909090909093493e+00
3.057637442237361824e+02,9.590909090909093493e+00
3.061346071069099821e+02,9.257575757575759567e+00
3.065054390368853774e+02,8.924242424242427418e+00
3.068762399936665588e+02,7.924242424242426530e+00
3.072470099572574895e+02,6.924242424242426530e+00
3.076177489076622464e+02,5.924242424242426530e+00
3.079884568248848495e+02,5.924242424242426530e+00
3.083591336889292620e+02,7.257575757575759567e+00
3.087297794797996175e+02,8.257575757575759567e+00
3.091003941774999930e+02,8.257575757575759567e+00
3.094709777620343516e+02,7.257575757575760456e+00
3.098415302134067701e+02,6.590909090909093493e+00
3.102120515116211550e+02,6.924242424242426530e+00
3.105825416366817535e+02,7.257575757575759567e+00
3.109530005685924721e+02,7.590909090909093493e+00
3.113234282873575012e+02,7.590909090909093493e+00
3.116938247729806335e+02,7.590909090909093493e+00
3.120641900054660596e+02,7.257575757575760456e+00
3.124345239648178563e+02,6.590909090909093493e+00
3.128048266310400436e+02,5.924242424242426530e+00
3.131750979841365279e+02,5.924242424242426530e+00
3.135453380041115565e+02,6.924242424242426530e+00
3.139155466709689222e+02,7.924242424242426530e+00
3.142857239647129859e+02,8.257575757575759567e+00
3.146558698653475403e+02,7.924242424242426530e+00
3.150259843528766055e+02,7.924242424242426530e+00
3.153960674073044856e+02,8.590909090909093493e+00
3.157661190086348597e+02,8.924242424242425642e+00
3.161361391368720319e+02,8.924242424242427418e+00
3.165061277720200223e+02,8.924242424242425642e+00
3.168760848940827373e+02,8.590909090909091717e+00
3.172460104830643672e+02,8.590909090909093493e+00
3.176159045189688186e+02,8.257575757575759567e+00
3.179857669818001114e+02,7.924242424242426530e+00
3.183555978515625497e+02,7.257575757575760456e+00
3.187253971082598696e+02,6.590909090909093493e+00
3.190951647318962614e+02,7.257575757575759567e+00
3.194649007024757452e+02,7.590909090909093493e+00
3.198346050000022274e+02,7.924242424242426530e+00
3.202042776044800121e+02,7.590909090909093493e+00
3.205739184959129489e+02,7.257575757575760456e+00
3.209435276543051714e+02,6.590909090909093493e+00
3.213131050596605860e+02,5.924242424242426530e+00
3.216826506919833832e+02,6.257575757575759567e+00
3.220521645312774695e+02,6.924242424242426530e+00
3.224216465575470352e+02,7.257575757575760456e+00
3.227910967507960436e+02,6.590909090909093493e+00
3.231605150910284578e+02,5.257575757575760456e+00
3.235299015582484117e+02,5.257575757575760456e+00
3.238992561324599819e+02,6.257575757575759567e+00
3.242685787936671318e+02,7.924242424242426530e+00
3.246378695218739381e+02,8.590909090909093493e+00
3.250071282970843640e+02,8.257575757575759567e+00
3.253763550993025433e+02,7.590909090909093493e+00
3.257455499085324959e+02,6.924242424242427418e+00
3.261147127047782988e+02,6.924242424242426530e+00
3.264838434680438013e+02,7.590909090909092605e+00
3.268529421783333078e+02,8.590909090909093493e+00
3.272220088156506108e+02,8.924242424242425642e+00
3.275910433600000147e+02,9.257575757575759567e+00
3.279600457913853688e+02,9.257575757575759567e+00
3.283290160898107501e+02,8.924242424242425642e+00
3.286979542352801786e+02,7.924242424242426530e+00
3.290668602077977312e+02,6.590909090909093493e+00
3.294357339873674846e+02,6.257575757575760456e+00
3.298045755539934021e+02,6.257575757575760456e+00
3.301733848876796173e+02,7.257575757575759567e+00
3.305421619684301504e+02,8.257575757575759567e+00
3.309109067762489076e+02,9.590909090909091717e+00
3.312796192911400226e+02,1.025757575757575957e+01
3.316482994931075154e+02,9.924242424242427418e+00
3.320169473621555198e+02,8.924242424242425642e+00
3.323855628782879990e+02,8.257575757575759567e+00
3.327541460215089728e+02,7.924242424242426530e+00
3.331226967718225183e+02,7.590909090909093493e+00
3.334912151092326553e+02,6.257575757575760456e+00
3.338597010137434609e+02,5.257575757575759567e+00
3.342281544653588981e+02,5.257575757575760456e+00
3.345965754440831006e+02,5.924242424242426530e+00
3.349649639299200317e+02,6.924242424242426530e+00
3.353333199028737681e+02,7.257575757575759567e+00
3.357016433429483300e+02,7.924242424242426530e+00
3.360699342301478509e+02,8.924242424242425642e+00
3.364381925444761805e+02,9.257575757575759567e+00
3.368064182659375092e+02,8.924242424242425642e+00
3.371746113745358571e+02,7.924242424242426530e+00
3.375427718502752441e+02,7.924242424242426530e+00
3.379108996731596903e+02,8.257575757575759567e+00
3.382789948231933295e+02,8.924242424242425642e+00
3.386470572803800110e+02,9.590909090909091717e+00
3.390150870247239823e+02,1.025757575757575957e+01
3.393830840362291497e+02,9.924242424242427418e+00
3.397510482948995900e+02,9.257575757575759567e+00
3.401189797807393802e+02,8.590909090909093493e+00
3.404868784737524834e+02,8.590909090909093493e+00
3.408547443539430333e+02,7.924242424242426530e+00
3.412225774013150499e+02,7.257575757575760456e+00
3.415903775958724964e+02,6.590909090909093493e+00
3.419581449176194496e+02,6.257575757575759567e+00
3.423258793465599865e+02,6.590909090909093493e+00
3.426935808626981270e+02,6.924242424242426530e+00
3.430612494460379480e+02,7.257575757575760456e+00
3.434288850765834127e+02,6.924242424242427418e+00
3.437964877343385979e+02,6.924242424242426530e+00
3.441640573993075236e+02,6.590909090909092605e+00
3.445315940514942099e+02,5.590909090909093493e+00
3.448990976709027905e+02,4.590909090909093493e+00
3.452665682375372853e+02,4.924242424242426530e+00
3.456340057314016576e+02,5.924242424242426530e+00
3.460014101325000411e+02,7.257575757575759567e+00
3.463687814208363420e+02,7.924242424242426530e+00
3.467361195764147510e+02,8.257575757575759567e+00
3.471034245792391744e+02,7.590909090909093493e+00
3.474706964093138026e+02,6.924242424242427418e+00
3.478379350466425421e+02,6.590909090909093493e+00
3.482051404712294698e+02,6.924242424242426530e+00
3.485723126630786055e+02,7.590909090909092605e+00
3.489394516021940831e+02,7.924242424242426530e+00
3.493065572685798656e+02,6.924242424242426530e+00
3.496736296422400301e+02,5.924242424242426530e+00
3.500406687031785395e+02,5.590909090909093493e+00
3.504076744313995277e+02,6.257575757575760456e+00
3.507746468069069579e+02,6.257575757575759567e+00
3.511415858097050204e+02,5.924242424242426530e+00
3.515084914197975081e+02,5.257575757575759567e+00
3.518753636171886683e+02,5.257575757575759567e+00
3.522422023818824641e+02,5.590909090909093493e+00
3.526090076938829156e+02,6.257575757575760456e+00
3.529757795331940429e+02,6.924242424242426530e+00
3.533425178798200363e+02,7.590909090909092605e+00
3.537092227137647455e+02,8.257575757575759567e+00
3.540758940150323042e+02,8.257575757575759567e+00
3.544425317636267323e+02,8.257575757575759567e+00
3.548091359395521636e+02,7.590909090909093493e+00
3.551757065228125043e+02,7.257575757575760456e+00
3.555422434934117746e+02,6.257575757575759567e+00
3.559087468313542217e+02,6.257575757575760456e+00
3.562752165166436953e+02,6.924242424242426530e+00
3.566416525292842721e+02,8.257575757575759567e+00
3.570080548492800290e+02,8.924242424242425642e+00
3.573744234566349292e+02,8.590909090909093493e+00
3.577407583313531063e+02,7.590909090909093493e+00
3.581070594534385805e+02,6.924242424242427418e+00
3.584733268028953717e+02,6.924242424242426530e+00
3.588395603597274999e+02,6.924242424242426530e+00
3.592057601039390988e+02,6.924242424242427418e+00
3.595719260155340180e+02,6.590909090909093493e+00
3.599380580745164480e+02,6.924242424242426530e+00
3.603041562608904655e+02,7.590909090909092605e+00
3.606702205546599771e+02,8.590909090909093493e+00
3.610362509358291732e+02,8.924242424242425642e+00
3.614022473844019032e+02,8.590909090909093493e+00
3.617682098803823578e+02,7.590909090909093493e+00
3.621341384037745570e+02,6.924242424242427418e+00
3.625000329345824639e+02,7.257575757575759567e+00
3.628658934528102691e+02,7.924242424242426530e+00
3.632317199384617652e+02,8.590909090909093493e+00
3.635975123715412565e+02,8.590909090909093493e+00
3.639632707320526492e+02,8.257575757575759567e+00
